strategy_id;strategy_name
S2631;competence keep
S2632;function keep
S2633;political organization be
S2634;only one ha
S2635;basic competence keep
S2636;rule
S2637;be rule
S2638;effect
S2639;stupid
S2641;rule stupid
S2642;people be
S2644;undermine
S2645;legitimacy
S2646;soon
S2647;power
S2648;supply
S2649;inferior
S2650;figure
S2653;hopeful
S2655;athlete hopeful
S2659;element be
S2660;specific
S2662;example specific
S2663;resource be
S2665;ease use
S2667;available
S2668;visit
S2669;please visit
S2671;design provide
S2672;total
S2675;two-time
S2676;gold
S2678;excite
S2679;together excite
S2681;program
S2683;non-profit
S2684;vision
S2688;align
S2689;strengthen align
S2690;world-leading
S2691;support world-leading
S2693;partnership be
S2696;body
S2697;loading
S2698;debate
S2704;ll
S2705;deputy
S2706;resolution
S2707;republican resolution
S2708;block republican resolution
S2709;photo
S2711;photo former
S2712;european
S2715;vote
S2717;disgrace vote
S2721;it.
S2726;social
S2730;don ’ t
S2731;song
S2732;sing
S2733;have song
S2734;wed
S2740;orders
S2741;surrender
S2742;inning surrender
S2743;déjà
S2745;leadoff
S2747;apparently
S2748;wa apparently
S2754;director communication
S2756;end
S2758;husband
S2759;describing
S2760;attention
S2761;celebrity attention
S2763;appearance
S2764;dressed
S2765;39-year-old
S2766;pooper 39-year-old
S2769;color
S2773;says
S2776;chance
S2780;win
S2781;22-year-old come
S2783;spokesman
S2786;originally wife
S2788;fear
S2792;allege
S2793;reportedly allege
S2794;bank
S2795;balance bank
S2798;obviously
S2799;perhaps
S2801;especially
S2803;question perhaps
S2804;bank especially
S2805;emerge market
S2806;actually
S2807;probe
S2808;regulator
S2809;part probe
S2810;gold regulator
S2811;instead gold regulator
S2813;claim part
S2814;source claim part
S2816;website note
S2818;conclude
S2820;reality
S2822;hence
S2823;localism
S2825;interest
S2826;bewilder
S2831;press
S2832;adoption
S2836;testify
S2837;set testify
S2839;typically
S2841;seem
S2842;people seem
S2843;originally
S2844;foreign
S2845;key foreign
S2847;decision be
S2849;founder
S2850;idnext
S2851;next-line
S2855;seller amount
S2856;pay seller amount
S2857;annual
S2858;case annual
S2859;performance
S2861;certain
S2864;subject certain
S2865;uncertainty cause
S2867;uncertainty include
S2868;incorporate
S2870;yuval
S2871;inventory
S2872;complex
S2873;unfortunately
S2874;heavy
S2875;individual
S2877;shortcoming
S2880;strengthening
S2881;peacekeeping
S2883;humanitarian
S2884;broad
S2886;increasingly
S2889;ago first
S2892;beauty
S2894;surprisingly
S2896;also be
S2897;oil
S2900;fell
S2901;gouge
S2903;commodity
